level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	958	732	-1	
2	1	1	0	0	0	309	23	340	65	-1	
3	1	1	1	0	0	309	23	340	65	-1	
4	1	1	1	1	0	309	23	340	65	-1	
5	1	1	1	1	1	309	24	162	44	95	Lorem
5	1	1	1	1	2	491	23	158	65	95	Ipsum
2	1	2	0	0	0	170	110	610	34	-1	
3	1	2	1	0	0	170	110	610	34	-1	
4	1	2	1	1	0	170	110	610	14	-1	
5	1	2	1	1	1	170	111	47	13	90	"Neque
5	1	2	1	1	2	220	113	37	11	92	porro
5	1	2	1	1	3	261	113	65	11	92	quisquam
5	1	2	1	1	4	330	112	20	9	96	est
5	1	2	1	1	5	353	113	21	11	96	qui
5	1	2	1	1	6	378	110	55	11	88	dolorem
5	1	2	1	1	7	436	113	41	11	49	ipsum
5	1	2	1	1	8	481	113	28	11	93	quia
5	1	2	1	1	9	513	110	35	11	93	dolor
5	1	2	1	1	10	546	101	20	30	96	sit
5	1	2	1	1	11	569	101	36	30	86	amet,
5	1	2	1	1	12	611	112	79	11	86	consectetur,
5	1	2	1	1	13	695	110	49	14	91	adipisci
5	1	2	1	1	14	748	110	32	11	45	velit.
4	1	2	1	2	0	187	131	583	13	-1	
5	1	2	1	2	1	187	131	37	10	65	“There
5	1	2	1	2	2	227	134	9	7	86	is
5	1	2	1	2	3	239	134	14	7	96	no
5	1	2	1	2	4	257	134	21	7	93	one
5	1	2	1	2	5	281	131	24	10	96	who
5	1	2	1	2	6	308	131	28	10	96	loves
5	1	2	1	2	7	340	134	24	10	96	pain
5	1	2	1	2	8	368	131	29	12	85	itself,
5	1	2	1	2	9	400	131	24	10	96	who
5	1	2	1	2	10	427	131	31	10	93	seeks
5	1	2	1	2	11	462	131	26	10	75	after
5	1	2	1	2	12	492	133	7	8	75	it
5	1	2	1	2	13	502	131	21	10	95	and
5	1	2	1	2	14	526	133	33	8	96	wants
5	1	2	1	2	15	563	133	11	8	95	to
5	1	2	1	2	16	578	131	26	10	94	have
5	1	2	1	2	17	608	133	9	10	80	it,
5	1	2	1	2	18	621	131	36	13	80	simply
5	1	2	1	2	19	661	131	45	10	96	because
5	1	2	1	2	20	710	133	19	8	88	itis
5	1	2	1	2	21	732	132	38	12	32	pain."
2	1	3	0	0	0	786	107	10	12	-1	
3	1	3	1	0	0	786	107	10	12	-1	
4	1	3	1	1	0	786	107	10	12	-1	
5	1	3	1	1	1	786	107	10	12	95	 
2	1	4	0	0	0	27	179	902	133	-1	
3	1	4	1	0	0	27	179	902	133	-1	
4	1	4	1	1	0	28	179	901	15	-1	
5	1	4	1	1	1	28	180	41	10	93	Lorem
5	1	4	1	1	2	74	180	39	14	96	ipsum
5	1	4	1	1	3	118	179	34	11	96	dolor
5	1	4	1	1	4	156	180	15	10	96	sit
5	1	4	1	1	5	175	180	36	12	96	amet,
5	1	4	1	1	6	216	180	77	10	93	consectetur
5	1	4	1	1	7	297	179	65	15	92	adipiscing
5	1	4	1	1	8	366	179	23	11	93	elit.
5	1	4	1	1	9	394	180	33	10	92	Proin
5	1	4	1	1	10	432	179	52	13	92	sodales,
5	1	4	1	1	11	489	182	30	8	96	urna
5	1	4	1	1	12	524	180	28	14	92	eget
